Country_Region,Population_Size,Tourism,Date_FirstFatality,Date_FirstConfirmedCase,Mean_Age,Confirmed,Deaths,Mortality Ratio,Latitude,Longitude
Guyana,779004,287000,2020-03-13T00:00:00.000Z,2020-03-13T00:00:00.000Z,24.6,2535.0,69.0,2.72,4.860416000000002,-58.93018000000001
Haiti,11123176,447000,2020-04-06T00:00:00.000Z,2020-03-21T00:00:00.000Z,23.0,8646.0,225.0,2.6,18.971187,-72.28521500000002
Honduras,9587522,14000,2020-03-27T00:00:00.000Z,2020-03-12T00:00:00.000Z,23.0,72675.0,2222.0,3.06,15.199998999999998,-86.241905
Hungary,9775564,17552000,2020-03-16T00:00:00.000Z,2020-03-05T00:00:00.000Z,41.7,20450.0,702.0,3.43,47.162494,19.503304
Iceland,352721,2343800,2020-03-17T00:00:00.000Z,2020-02-29T00:00:00.000Z,36.0,2476.0,10.0,0.4,64.96305100000001,-19.020835
India,1352617328,17423000,2020-03-12T00:00:00.000Z,2020-01-31T00:00:00.000Z,26.7,5646010.0,90020.0,1.59,20.593684,78.96288
Indonesia,267663435,15810000,2020-03-12T00:00:00.000Z,2020-03-03T00:00:00.000Z,28.0,257388.0,9977.0,3.88,-0.789275,113.921327
Iran,81800269,7295000,2020-02-20T00:00:00.000Z,2020-02-20T00:00:00.000Z,29.5,432798.0,24840.0,5.74,32.427908,53.68804599999999
Iraq,38433600,14000,2020-03-05T00:00:00.000Z,2020-02-25T00:00:00.000Z,19.4,332635.0,8754.0,2.63,33.223191,43.679291
Ireland,4867309,10926000,2020-03-12T00:00:00.000Z,2020-03-01T00:00:00.000Z,36.9,33675.0,1794.0,5.33,53.41291,-8.243889999999999
Israel,8882800,4121000,2020-03-22T00:00:00.000Z,2020-02-22T00:00:00.000Z,30.2,204690.0,1325.0,0.65,31.046051,34.851612
Italy,60421760,61567200,2020-02-22T00:00:00.000Z,2020-02-01T00:00:00.000Z,45.9,302537.0,35758.0,11.82,41.87194,12.56738
Jamaica,2934855,2473000,2020-03-20T00:00:00.000Z,2020-03-12T00:00:00.000Z,29.4,5395.0,76.0,1.41,18.109581,-77.297508
Japan,126529100,31192000,2020-02-14T00:00:00.000Z,2020-01-23T00:00:00.000Z,46.3,80009.0,1525.0,1.91,36.204824,138.252924
Jordan,9956011,4150000,2020-03-28T00:00:00.000Z,2020-03-04T00:00:00.000Z,22.1,6042.0,35.0,0.58,30.585164,36.238414
Kazakhstan,18272430,8789000,2020-03-26T00:00:00.000Z,2020-03-14T00:00:00.000Z,29.3,107529.0,1699.0,1.58,48.019573,66.923684
Kenya,51393010,14000,2020-03-27T00:00:00.000Z,2020-03-14T00:00:00.000Z,19.0,37348.0,664.0,1.78,-0.023559,37.906193
Kosovo,1845300,14000,2020-03-27T00:00:00.000Z,2020-03-27T00:00:00.000Z,37.0,12683.0,488.0,3.85,42.602636,20.902977
Kuwait,4137309,8508000,2020-04-05T00:00:00.000Z,2020-02-25T00:00:00.000Z,33.4,101299.0,590.0,0.58,29.31166,47.481766
Kyrgyzstan,6316000,14000,2020-04-04T00:00:00.000Z,2020-03-19T00:00:00.000Z,25.3,45630.0,1063.0,2.33,41.20438,74.766098
Laos,7062000,14000,2019-12-31T00:00:00.000ZT00:00:00.000Z,2020-03-25T00:00:00.000Z,37.0,23.0,0.0,0.0,19.85627,102.495496
Latvia,1927174,1946000,2020-04-04T00:00:00.000Z,2020-03-03T00:00:00.000Z,42.5,1572.0,36.0,2.29,56.879635,24.603189
Lebanon,6848925,1964000,2020-03-11T00:00:00.000Z,2020-02-22T00:00:00.000Z,28.5,31792.0,328.0,1.03,33.854721000000005,35.862285
Liberia,4818977,14000,2020-04-05T00:00:00.000Z,2020-03-17T00:00:00.000Z,18.6,1337.0,82.0,6.13,6.4280550000000005,-9.429499
Libya,6678567,14000,2020-04-03T00:00:00.000Z,2020-03-25T00:00:00.000Z,27.2,30097.0,469.0,1.56,26.3351,17.228331
Liechtenstein,37910,85300,2020-04-05T00:00:00.000Z,2020-03-05T00:00:00.000Z,37.0,116.0,1.0,0.86,47.166,9.555373
Lithuania,2801543,2825000,2020-03-22T00:00:00.000Z,2020-02-29T00:00:00.000Z,42.7,3932.0,87.0,2.21,55.169438,23.881275
Luxembourg,607950,1018000,2020-03-15T00:00:00.000Z,2020-03-01T00:00:00.000Z,39.3,8090.0,124.0,1.53,49.815273,6.129583
Madagascar,26262368,291000,2019-12-31T00:00:00.000ZT00:00:00.000Z,2020-03-21T00:00:00.000Z,18.7,16167.0,226.0,1.4,-18.766947,46.869107
Malawi,18143315,871000,2020-04-08T00:00:00.000Z,2020-04-03T00:00:00.000Z,17.4,5746.0,179.0,3.12,-13.254307999999998,34.301525
Malaysia,31528585,25832000,2020-03-18T00:00:00.000Z,2020-01-26T00:00:00.000Z,27.7,10505.0,133.0,1.27,4.210483999999999,101.975766
Maldives,515696,1484000,2019-12-31T00:00:00.000ZT00:00:00.000Z,2020-03-09T00:00:00.000Z,27.9,9885.0,34.0,0.34,3.202778,73.22068
Mali,19077690,14000,2020-03-30T00:00:00.000Z,2020-03-26T00:00:00.000Z,16.0,3034.0,130.0,4.28,17.570692,-3.996166000000001
Malta,484630,2599000,2020-04-09T00:00:00.000Z,2020-03-08T00:00:00.000Z,40.9,2856.0,25.0,0.88,35.937496,14.375416
Mauritania,4403319,14000,2020-03-31T00:00:00.000Z,2020-03-15T00:00:00.000Z,19.7,7425.0,161.0,2.17,21.00789,-10.940835
Mauritius,1265303,1399000,2020-03-22T00:00:00.000Z,2020-03-19T00:00:00.000Z,35.6,367.0,10.0,2.72,-20.348404,57.552152
Mexico,126190788,41313000,2020-03-20T00:00:00.000Z,2020-02-29T00:00:00.000Z,27.5,710049.0,74949.0,10.56,23.634501,-102.552784
Moldova,2706049,160000,2020-03-19T00:00:00.000Z,2020-03-09T00:00:00.000Z,37.0,48232.0,1244.0,2.58,47.411631,28.369885
